NAME,TEAM,POS,AGE,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Tariq Abdul-Wahad, SAC, SG,24,49, 49, 24.6,3.6,8.3, .435, 0.1,0.4,.286, 3.5, 7.9,.443,.442, 1.9,2.8,.691, 1.5,2.3,3.8,1.0, 1.0, 0.3,1.4,2.5, 9.3
Shareef Abdur-Rahim, VAN, SF,22,50, 50, 40.4,7.7,17.9, .432, 0.2,0.7,.306, 7.5, 17.1,.438,.438, 7.4,8.8,.841, 2.3,5.2,7.5,3.4, 1.4, 1.1,3.7,2.7, 23.0
Cory Alexander, DEN, PG,25,36, 4, 21.6,2.7,7.2, .373, 0.8,2.9,.286, 1.9, 4.3,.432,.431, 1.0,1.2,.841, 0.2,1.9,2.1,3.3, 1.0, 0.1,1.9,2.1, 7.3
Ray Allen*, MIL, SG,23,50, 50, 34.4,6.1,13.5, .450, 1.5,4.2,.356, 4.6, 9.3,.492,.505, 3.5,3.9,.903, 1.1,3.1,4.2,3.6, 1.1, 0.1,2.4,2.3, 17.1
Peter Aluma, SAC, C,25,2, 0, 2.5,0.5,1.0, .500, 0.0,0.0,, 0.5, 1.0,.500,.500, 0.0,0.0,, 0.5,0.5,1.0,0.0, 0.5, 0.5,1.0,2.0, 1.0
Derek Anderson, CLE, SG,24,38, 13, 25.7,3.3,8.3, .398, 0.6,1.8,.304, 2.7, 6.4,.424,.432, 3.6,4.3,.836, 0.5,2.3,2.9,3.8, 1.3, 0.1,2.2,1.9, 10.8
Kenny Anderson, BOS, PG,28,34, 33, 29.7,4.7,10.5, .451, 0.2,0.7,.250, 4.6, 9.8,.465,.459, 2.5,3.0,.832, 0.7,2.3,3.0,5.7, 1.0, 0.1,2.1,2.3, 12.1
Nick Anderson, ORL, SF,31,47, 39, 33.6,5.4,13.6, .395, 2.0,5.9,.347, 3.3, 7.7,.433,.470, 2.1,3.4,.611, 1.1,4.8,5.9,1.9, 1.4, 0.3,1.8,1.5, 14.9
Shandon Anderson, UTA, SG,25,50, 2, 21.4,3.2,7.3, .446, 0.3,0.8,.341, 3.0, 6.4,.460,.466, 1.8,2.5,.712, 1.0,1.7,2.6,1.1, 0.8, 0.2,1.3,1.8, 8.5
Chris Anstey, DAL, C,24,41, 4, 11.5,1.2,3.4, .360, 0.0,0.2,.000, 1.2, 3.2,.379,.360, 0.8,1.2,.708, 0.9,1.5,2.4,0.7, 0.4, 0.3,0.6,2.4, 3.3
Greg Anthony, POR, PG,31,50, 0, 16.1,2.1,5.0, .414, 1.0,2.5,.392, 1.1, 2.5,.437,.512, 1.2,1.8,.697, 0.3,1.0,1.3,2.0, 1.3, 0.1,1.1,1.5, 6.4
B.J. Armstrong, TOT, PG,31,32, 1, 11.2,1.3,2.8, .455, 0.2,0.5,.467, 1.0, 2.3,.452,.494, 0.6,0.7,.857, 0.1,1.2,1.2,1.9, 0.4, 0.0,0.8,1.0, 3.3
B.J. Armstrong, CHH, PG,31,10, 1, 17.8,2.1,4.3, .488, 0.6,0.8,.750, 1.5, 3.5,.429,.558, 0.9,1.0,.900, 0.1,1.5,1.6,2.7, 0.3, 0.0,1.0,1.6, 5.7
B.J. Armstrong, ORL, PG,31,22, 0, 8.2,0.9,2.0, .422, 0.0,0.3,.143, 0.8, 1.7,.474,.433, 0.4,0.5,.818, 0.0,1.0,1.0,1.5, 0.4, 0.0,0.7,0.7, 2.2
Darrell Armstrong, ORL, PG,30,50, 15, 30.0,4.6,10.4, .441, 1.4,3.8,.365, 3.2, 6.7,.483,.507, 3.2,3.6,.904, 1.1,2.5,3.6,6.7, 2.2, 0.1,3.2,1.8, 13.8
Keith Askins, MIA, SF,31,33, 13, 12.6,0.6,1.9, .323, 0.2,0.9,.276, 0.4, 1.0,.364,.387, 0.2,0.2,.625, 0.3,1.0,1.3,0.3, 0.5, 0.1,0.4,1.8, 1.6
Stacey Augmon, POR, SF,30,48, 21, 18.2,1.6,3.6, .448, 0.0,0.0,.000, 1.6, 3.6,.453,.448, 1.1,1.6,.684, 1.0,1.6,2.6,1.2, 1.2, 0.4,0.6,1.7, 4.3
Isaac Austin, ORL, C,29,49, 49, 25.7,3.8,9.2, .408, 0.0,0.1,.286, 3.7, 9.1,.410,.411, 2.1,3.2,.669, 1.7,3.1,4.8,1.8, 1.0, 0.7,2.3,2.6, 9.7
Anthony Avent, UTA, PF,29,5, 0, 8.8,0.8,2.6, .308, 0.0,0.0,, 0.8, 2.6,.308,.308, 0.2,0.4,.500, 1.6,0.8,2.4,0.2, 0.4, 0.0,1.4,1.2, 1.8
Thurl Bailey, UTA, PF,37,43, 0, 12.6,1.8,4.1, .446, 0.0,0.0,.000, 1.8, 4.0,.451,.446, 0.6,0.8,.735, 0.8,1.3,2.2,0.6, 0.2, 0.7,0.6,1.8, 4.2
Toby Bailey, PHO, SG,23,27, 10, 9.2,1.3,3.2, .395, 0.0,0.2,.200, 1.2, 3.0,.407,.401, 0.3,0.5,.692, 0.9,1.1,2.0,0.5, 0.3, 0.1,0.4,0.9, 2.9
Mark Baker, TOR, PG,29,1, 0, 2.0,0.0,1.0, .000, 0.0,0.0,, 0.0, 1.0,.000,.000, 0.0,0.0,, 0.0,0.0,0.0,0.0, 0.0, 0.0,1.0,0.0, 0.0
Vin Baker, SEA, PF,27,34, 31, 34.2,5.8,12.9, .453, 0.0,0.1,.000, 5.8, 12.8,.456,.453, 2.1,4.7,.450, 2.5,3.7,6.2,1.6, 0.9, 1.0,2.2,3.6, 13.8
Charles Barkley*, HOU, PF,35,42, 40, 36.3,5.7,12.0, .478, 0.1,0.6,.160, 5.6, 11.4,.495,.482, 4.6,6.4,.719, 4.0,8.3,12.3,4.6, 1.0, 0.3,2.4,2.1, 16.1
