NAME,TEAM,POS,AGE,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Quincy Acy, SAC, PF,25,59, 29, 14.8,2.0,3.6, .556, 0.3,0.8,.388, 1.7, 2.8,.606,.600, 0.8,1.2,.735, 1.1,2.1,3.2,0.5, 0.5, 0.4,0.5,1.7, 5.2
Jordan Adams, MEM, SG,21,2, 0, 7.5,1.0,3.0, .333, 0.0,0.5,.000, 1.0, 2.5,.400,.333, 1.5,2.5,.600, 0.0,1.0,1.0,1.5, 1.5, 0.0,1.0,1.0, 3.5
Steven Adams, OKC, C,22,80, 80, 25.2,3.3,5.3, .613, 0.0,0.0,, 3.3, 5.3,.613,.613, 1.4,2.5,.582, 2.7,3.9,6.7,0.8, 0.5, 1.1,1.1,2.8, 8.0
Arron Afflalo, NYK, SG,30,71, 57, 33.4,5.0,11.3, .443, 1.3,3.4,.382, 3.7, 7.9,.469,.500, 1.5,1.8,.840, 0.3,3.4,3.7,2.0, 0.4, 0.1,1.2,2.0, 12.8
Alexis Ajinça, NOP, C,27,59, 17, 14.6,2.5,5.3, .476, 0.0,0.0,.000, 2.5, 5.3,.478,.476, 0.9,1.1,.839, 1.3,3.3,4.6,0.5, 0.3, 0.6,0.9,2.3, 6.0
Cole Aldrich, LAC, C,27,60, 5, 13.3,2.2,3.8, .596, 0.0,0.0,, 2.2, 3.8,.596,.596, 1.0,1.4,.714, 1.4,3.4,4.8,0.8, 0.8, 1.1,1.1,2.3, 5.5
LaMarcus Aldridge, SAS, PF,30,74, 74, 30.6,7.2,14.1, .513, 0.0,0.2,.000, 7.2, 13.9,.521,.513, 3.5,4.1,.858, 2.4,6.2,8.5,1.5, 0.5, 1.1,1.3,2.0, 18.0
Cliff Alexander, POR, PF,20,8, 0, 4.5,0.6,1.3, .500, 0.0,0.0,, 0.6, 1.3,.500,.500, 0.0,0.0,, 0.3,0.5,0.8,0.0, 0.1, 0.3,0.1,0.1, 1.3
Lavoy Allen, IND, PF,26,79, 28, 20.2,2.4,4.7, .516, 0.0,0.0,, 2.4, 4.7,.516,.516, 0.6,0.9,.630, 2.1,3.3,5.4,1.0, 0.3, 0.5,0.9,1.9, 5.4
Tony Allen, MEM, SG,34,64, 57, 25.3,3.4,7.3, .458, 0.2,0.7,.357, 3.1, 6.7,.468,.474, 1.4,2.2,.652, 1.6,3.0,4.6,1.1, 1.7, 0.3,1.2,2.7, 8.4
Al-Farouq Aminu, POR, SF,25,82, 82, 28.5,3.6,8.8, .416, 1.5,4.3,.361, 2.1, 4.5,.468,.503, 1.4,1.9,.737, 1.2,4.9,6.1,1.7, 0.9, 0.6,1.5,2.1, 10.2
Lou Amundson, NYK, PF,33,29, 0, 7.0,0.7,1.8, .358, 0.0,0.0,, 0.7, 1.8,.358,.358, 0.5,0.9,.519, 0.8,0.9,1.7,0.4, 0.2, 0.2,0.5,1.5, 1.8
Chris Andersen, TOT, C,37,27, 15, 14.9,1.4,2.7, .528, 0.1,0.5,.286, 1.3, 2.1,.586,.556, 0.9,1.3,.694, 1.3,2.3,3.6,0.4, 0.6, 0.5,0.3,1.1, 3.9
Chris Andersen, MIA, C,37,7, 1, 5.1,0.6,1.4, .400, 0.3,0.7,.400, 0.3, 0.7,.400,.500, 0.4,0.6,.750, 0.4,0.9,1.3,0.4, 0.1, 0.4,0.3,0.6, 1.9
Chris Andersen, MEM, C,37,20, 14, 18.3,1.7,3.1, .548, 0.1,0.5,.222, 1.6, 2.7,.604,.565, 1.1,1.6,.688, 1.7,2.8,4.5,0.5, 0.7, 0.5,0.4,1.3, 4.6
Alan Anderson, WAS, SG,33,13, 0, 14.8,1.6,4.5, .356, 0.9,2.8,.324, 0.7, 1.7,.409,.458, 0.8,1.2,.733, 0.1,2.0,2.1,1.1, 0.3, 0.1,0.2,1.9, 5.0
James Anderson, SAC, SG,26,51, 15, 14.1,1.3,3.5, .376, 0.5,1.7,.267, 0.9, 1.8,.478,.441, 0.4,0.6,.759, 0.3,1.4,1.7,0.8, 0.4, 0.3,0.8,1.1, 3.5
Justin Anderson, DAL, SF,22,55, 9, 11.8,1.3,3.2, .406, 0.4,1.5,.265, 0.9, 1.7,.533,.469, 0.8,1.0,.800, 0.3,2.1,2.4,0.5, 0.3, 0.5,0.4,0.8, 3.8
Kyle Anderson, SAS, SF,22,78, 11, 16.0,1.8,3.8, .468, 0.2,0.5,.324, 1.6, 3.3,.488,.488, 0.8,1.1,.747, 0.3,2.8,3.1,1.6, 0.8, 0.4,0.8,1.2, 4.5
Ryan Anderson, NOP, PF,27,66, 7, 30.4,6.0,14.1, .427, 2.0,5.4,.366, 4.0, 8.7,.466,.498, 3.0,3.5,.873, 2.0,4.0,6.0,1.1, 0.6, 0.4,1.4,1.7, 17.0
Giannis Antetokounmpo, MIL, PG,21,80, 79, 35.3,6.4,12.7, .506, 0.4,1.4,.257, 6.1, 11.3,.537,.520, 3.7,5.1,.724, 1.4,6.2,7.7,4.3, 1.2, 1.4,2.6,3.2, 16.9
Thanasis Antetokounmpo, NYK, SF,23,2, 0, 3.0,1.5,2.0, .750, 0.0,0.5,.000, 1.5, 1.5,1.000,.750, 0.0,0.0,, 0.0,0.5,0.5,0.0, 0.0, 0.0,0.0,1.0, 3.0
Carmelo Anthony, NYK, SF,31,72, 72, 35.1,7.9,18.2, .434, 1.5,4.3,.339, 6.4, 13.8,.463,.474, 4.6,5.6,.829, 1.4,6.4,7.7,4.2, 0.9, 0.5,2.4,2.5, 21.8
Joel Anthony, DET, C,33,19, 0, 5.1,0.3,0.5, .600, 0.0,0.0,, 0.3, 0.5,.600,.600, 0.3,0.4,.750, 0.4,0.7,1.1,0.1, 0.1, 0.6,0.1,0.8, 0.9
Keith Appling, ORL, PG,23,5, 0, 5.4,0.4,1.6, .250, 0.0,0.6,.000, 0.4, 1.0,.400,.250, 0.4,0.4,1.000, 0.0,0.2,0.2,0.2, 0.2, 0.0,0.6,1.0, 1.2
Trevor Ariza, HOU, SF,30,81, 81, 35.3,4.4,10.6, .416, 2.3,6.2,.371, 2.1, 4.4,.478,.523, 1.6,2.0,.783, 0.8,3.7,4.5,2.3, 2.0, 0.3,1.4,2.2, 12.7
Darrell Arthur, DEN, PF,27,70, 16, 21.7,3.2,7.0, .452, 0.6,1.7,.385, 2.5, 5.3,.473,.498, 0.6,0.8,.755, 1.2,3.0,4.2,1.4, 0.8, 0.7,0.9,2.6, 7.5
Ömer Aşık, NOP, C,29,68, 64, 17.3,1.5,2.9, .533, 0.0,0.0,, 1.5, 2.9,.533,.533, 0.9,1.6,.545, 1.8,4.3,6.1,0.4, 0.3, 0.3,0.9,1.8, 4.0
D.J. Augustin, TOT, PG,28,62, 0, 19.0,2.4,5.6, .423, 1.1,2.7,.405, 1.3, 2.9,.440,.520, 1.7,2.1,.805, 0.1,1.4,1.5,3.2, 0.6, 0.1,1.4,1.4, 7.5
D.J. Augustin, OKC, PG,28,34, 0, 15.3,1.4,3.6, .380, 0.7,1.8,.393, 0.6, 1.8,.367,.479, 0.8,1.0,.765, 0.1,1.1,1.3,1.9, 0.4, 0.1,0.9,1.2, 4.2
D.J. Augustin, DEN, PG,28,28, 0, 23.5,3.6,8.2, .445, 1.6,3.8,.411, 2.1, 4.4,.475,.541, 2.8,3.4,.819, 0.1,1.8,1.9,4.7, 0.9, 0.1,1.9,1.6, 11.6
Jeff Ayres, LAC, C,28,17, 0, 6.3,0.7,1.4, .522, 0.0,0.1,.000, 0.7, 1.3,.545,.522, 0.4,0.4,1.000, 0.2,1.1,1.3,0.3, 0.0, 0.2,0.4,1.1, 1.8
Luke Babbitt, NOP, SF,26,47, 13, 18.0,2.6,6.1, .422, 0.9,2.3,.404, 1.7, 3.8,.433,.498, 0.8,1.1,.780, 0.5,2.6,3.1,1.1, 0.2, 0.1,0.5,1.9, 7.0
Cameron Bairstow, CHI, C,25,18, 2, 5.7,0.7,2.2, .325, 0.1,0.3,.200, 0.7, 1.9,.343,.338, 0.4,0.4,.875, 0.2,1.3,1.6,0.3, 0.1, 0.2,0.2,1.1, 1.9
Leandro Barbosa, GSW, SG,33,68, 0, 15.9,2.5,5.4, .462, 0.6,1.6,.355, 1.9, 3.8,.508,.515, 0.8,0.9,.839, 0.4,1.3,1.7,1.2, 0.6, 0.1,0.8,1.6, 6.4
J.J. Barea, DAL, PG,31,74, 16, 22.5,4.3,9.6, .446, 1.4,3.5,.385, 2.9, 6.1,.481,.516, 1.0,1.3,.771, 0.4,1.7,2.1,4.1, 0.4, 0.0,1.5,1.5, 10.9
Andrea Bargnani, BRK, C,30,46, 0, 13.8,2.8,6.1, .455, 0.1,0.3,.188, 2.7, 5.7,.471,.461, 1.0,1.2,.825, 0.6,1.5,2.1,0.4, 0.1, 0.2,0.6,1.3, 6.6
Harrison Barnes, GSW, SF,23,66, 59, 30.9,4.5,9.6, .466, 1.2,3.2,.383, 3.2, 6.3,.508,.531, 1.5,2.0,.761, 1.2,3.8,4.9,1.8, 0.6, 0.2,0.9,2.1, 11.7
