NAME,TEAM,POS,AGE,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Alex Acker, TOT, SG,26,25, 0, 8.0,1.2,3.0, .395, 0.3,0.8,.350, 0.9, 2.2,.411,.441, 0.2,0.4,.500, 0.3,0.6,1.0,0.5, 0.2, 0.2,0.3,0.4, 2.9
Alex Acker, DET, SG,26,7, 0, 2.9,0.6,1.6, .364, 0.0,0.6,.000, 0.6, 1.0,.571,.364, 0.1,0.3,.500, 0.0,0.3,0.3,0.1, 0.3, 0.1,0.0,0.0, 1.3
Alex Acker, LAC, SG,26,18, 0, 9.9,1.4,3.6, .400, 0.4,0.9,.438, 1.1, 2.7,.388,.454, 0.2,0.4,.500, 0.4,0.8,1.2,0.6, 0.2, 0.2,0.4,0.5, 3.5
Hassan Adams, TOR, SG,24,12, 0, 4.3,0.3,1.1, .308, 0.0,0.0,, 0.3, 1.1,.308,.308, 0.3,0.5,.500, 0.1,0.5,0.6,0.1, 0.1, 0.1,0.3,0.3, 0.9
Arron Afflalo, DET, SG,23,74, 8, 16.7,1.8,4.1, .437, 0.6,1.4,.402, 1.2, 2.6,.456,.508, 0.8,1.0,.817, 0.4,1.4,1.8,0.6, 0.4, 0.2,0.6,1.9, 4.9
Maurice Ager, NJN, SG,24,20, 0, 4.9,0.8,2.2, .349, 0.0,0.3,.000, 0.8, 1.9,.405,.349, 0.2,0.4,.500, 0.2,0.4,0.5,0.2, 0.1, 0.1,0.2,0.9, 1.7
Blake Ahearn, SAS, PG,24,3, 0, 6.3,0.7,2.0, .333, 0.7,1.3,.500, 0.0, 0.7,.000,.500, 0.7,0.7,1.000, 0.0,0.3,0.3,0.7, 0.3, 0.0,0.3,1.0, 2.7
Alexis Ajinça, CHA, PF,20,31, 4, 5.9,0.8,2.2, .362, 0.0,0.1,.000, 0.8, 2.2,.373,.362, 0.6,0.9,.714, 0.3,0.7,1.0,0.1, 0.2, 0.2,0.4,1.1, 2.3
LaMarcus Aldridge, POR, PF,23,81, 81, 37.1,7.4,15.3, .484, 0.1,0.3,.250, 7.3, 15.0,.489,.486, 3.2,4.1,.781, 2.9,4.6,7.5,1.9, 1.0, 1.0,1.5,2.6, 18.1
Joe Alexander, MIL, SF,22,59, 0, 12.1,1.7,4.2, .416, 0.3,0.8,.348, 1.5, 3.4,.432,.449, 1.0,1.4,.699, 0.7,1.2,1.9,0.7, 0.3, 0.5,0.9,1.8, 4.7
Malik Allen, MIL, PF,30,49, 3, 11.8,1.5,3.5, .429, 0.0,0.0,.000, 1.5, 3.4,.432,.429, 0.2,0.4,.476, 0.7,1.4,2.1,0.7, 0.1, 0.2,0.4,1.8, 3.2
Ray Allen*, BOS, SG,33,79, 79, 36.4,6.3,13.2, .480, 2.5,6.2,.409, 3.8, 7.0,.542,.575, 3.0,3.2,.952, 0.8,2.7,3.5,2.8, 0.9, 0.2,1.7,2.0, 18.2
Tony Allen, BOS, SG,27,46, 2, 19.3,3.0,6.2, .482, 0.1,0.6,.222, 2.8, 5.6,.510,.493, 1.7,2.4,.725, 0.5,1.8,2.3,1.4, 1.2, 0.5,1.7,2.1, 7.8
Morris Almond, UTA, SG,23,25, 1, 10.2,1.3,3.2, .407, 0.2,0.7,.294, 1.1, 2.6,.438,.438, 0.8,1.0,.808, 0.4,1.1,1.4,0.3, 0.2, 0.2,0.6,1.2, 3.7
Rafer Alston, TOT, PG,32,77, 76, 31.8,4.1,10.6, .385, 1.5,4.3,.338, 2.6, 6.4,.417,.454, 2.0,2.7,.750, 0.4,2.5,2.9,5.3, 1.4, 0.1,1.8,1.8, 11.7
Rafer Alston, HOU, PG,32,48, 48, 33.1,4.0,10.9, .370, 1.7,4.8,.348, 2.4, 6.1,.387,.446, 1.8,2.3,.789, 0.5,2.5,3.0,5.4, 1.2, 0.1,1.8,1.5, 11.5
Rafer Alston, ORL, PG,32,29, 28, 29.5,4.2,10.3, .413, 1.1,3.5,.317, 3.1, 6.8,.462,.466, 2.4,3.4,.707, 0.3,2.6,2.9,5.1, 1.8, 0.1,1.8,2.2, 12.0
Lou Amundson, PHO, PF,26,76, 0, 13.7,1.8,3.3, .536, 0.0,0.0,.000, 1.8, 3.3,.538,.536, 0.7,1.6,.442, 1.7,1.9,3.6,0.4, 0.4, 0.9,0.7,2.0, 4.2
Chris Andersen, DEN, C,30,71, 1, 20.6,2.3,4.1, .548, 0.0,0.1,.200, 2.2, 4.0,.560,.551, 1.8,2.5,.718, 2.3,3.9,6.2,0.4, 0.6, 2.5,1.0,2.5, 6.4
Ryan Anderson, NJN, PF,20,66, 30, 19.9,2.4,6.2, .393, 1.0,2.9,.365, 1.4, 3.3,.417,.478, 1.5,1.8,.845, 1.6,3.1,4.7,0.8, 0.7, 0.3,1.0,2.4, 7.4
Carmelo Anthony, DEN, SF,24,66, 66, 34.5,8.1,18.3, .443, 1.0,2.6,.371, 7.2, 15.7,.455,.469, 5.6,7.1,.793, 1.6,5.2,6.8,3.4, 1.1, 0.4,3.0,3.0, 22.8
Joel Anthony, MIA, C,26,65, 28, 16.1,0.9,1.8, .483, 0.0,0.0,, 0.9, 1.8,.483,.483, 0.5,0.7,.652, 1.4,1.7,3.0,0.4, 0.3, 1.4,0.6,2.1, 2.2
Gilbert Arenas, WAS, PG,27,2, 2, 31.5,3.0,11.5, .261, 1.0,3.5,.286, 2.0, 8.0,.250,.304, 6.0,8.0,.750, 0.5,4.0,4.5,10.0, 0.0, 0.5,0.5,2.0, 13.0
Trevor Ariza, LAL, SF,23,82, 20, 24.4,3.3,7.3, .460, 0.7,2.3,.319, 2.6, 4.9,.526,.511, 1.5,2.1,.710, 1.4,2.9,4.3,1.8, 1.7, 0.3,1.1,2.0, 8.9
Hilton Armstrong, NOH, C,24,70, 29, 15.6,2.0,3.5, .561, 0.0,0.0,.000, 2.0, 3.5,.566,.561, 0.9,1.4,.633, 1.2,1.6,2.8,0.4, 0.4, 0.6,1.1,2.6, 4.8
Darrell Arthur, MEM, PF,20,76, 64, 19.3,2.5,5.7, .438, 0.0,0.0,.000, 2.5, 5.7,.440,.438, 0.5,0.8,.667, 1.4,3.1,4.6,0.6, 0.7, 0.7,0.6,2.7, 5.6
