NAME,TEAM,POS,AGE,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Álex Abrines, OKC, SG,24,75, 8, 15.1,1.5,3.9, .395, 1.1,2.9,.380, 0.4, 0.9,.443,.540, 0.5,0.6,.848, 0.3,1.2,1.5,0.4, 0.5, 0.1,0.3,1.7, 4.7
Quincy Acy, BRK, PF,27,70, 8, 19.4,1.9,5.2, .356, 1.5,4.2,.349, 0.4, 1.0,.384,.496, 0.7,0.9,.817, 0.6,3.1,3.7,0.8, 0.5, 0.4,0.9,2.1, 5.9
Steven Adams, OKC, C,24,76, 76, 32.7,5.9,9.4, .629, 0.0,0.0,.000, 5.9, 9.3,.631,.629, 2.1,3.8,.559, 5.1,4.0,9.0,1.2, 1.2, 1.0,1.7,2.8, 13.9
Bam Adebayo, MIA, C,20,69, 19, 19.8,2.5,4.9, .512, 0.0,0.1,.000, 2.5, 4.8,.523,.512, 1.9,2.6,.721, 1.7,3.8,5.5,1.5, 0.5, 0.6,1.0,2.0, 6.9
Arron Afflalo, ORL, SG,32,53, 3, 12.9,1.2,3.1, .401, 0.5,1.3,.386, 0.7, 1.7,.413,.485, 0.4,0.5,.846, 0.1,1.2,1.2,0.6, 0.1, 0.2,0.4,1.1, 3.4
Cole Aldrich, MIN, C,29,21, 0, 2.3,0.2,0.7, .333, 0.0,0.0,, 0.2, 0.7,.333,.333, 0.1,0.3,.333, 0.1,0.6,0.7,0.1, 0.1, 0.0,0.0,0.5, 0.6
LaMarcus Aldridge, SAS, C,32,75, 75, 33.5,9.2,18.0, .510, 0.4,1.2,.293, 8.8, 16.7,.526,.520, 4.5,5.3,.837, 3.3,5.2,8.5,2.0, 0.6, 1.2,1.5,2.1, 23.1
Jarrett Allen, BRK, C,19,72, 31, 20.0,3.3,5.5, .589, 0.1,0.2,.333, 3.2, 5.3,.599,.596, 1.6,2.0,.776, 2.0,3.4,5.4,0.7, 0.4, 1.2,1.1,2.0, 8.2
Kadeem Allen, BOS, PG,25,18, 1, 5.9,0.3,1.2, .273, 0.0,0.6,.000, 0.3, 0.6,.545,.273, 0.4,0.5,.778, 0.2,0.4,0.6,0.7, 0.2, 0.1,0.5,0.8, 1.1
Tony Allen, NOP, SF,36,22, 0, 12.4,2.0,4.1, .484, 0.2,0.5,.333, 1.8, 3.6,.506,.505, 0.5,1.0,.524, 0.9,1.2,2.1,0.4, 0.5, 0.1,0.9,2.2, 4.7
Al-Farouq Aminu, POR, PF,27,69, 67, 30.0,3.3,8.4, .395, 1.8,4.9,.369, 1.5, 3.5,.432,.503, 0.9,1.2,.738, 1.4,6.2,7.6,1.2, 1.1, 0.6,1.1,2.0, 9.3
Justin Anderson, PHI, SF,24,38, 0, 13.7,2.3,5.3, .431, 0.9,2.7,.330, 1.4, 2.6,.535,.515, 0.7,1.0,.737, 0.7,1.8,2.4,0.7, 0.4, 0.2,0.4,1.4, 6.2
Kyle Anderson, SAS, SF,24,74, 67, 26.7,3.1,5.9, .527, 0.3,0.8,.333, 2.9, 5.1,.556,.549, 1.4,2.0,.712, 1.1,4.2,5.4,2.7, 1.6, 0.8,1.3,1.5, 7.9
Ryan Anderson, HOU, PF,29,66, 50, 26.1,3.1,7.3, .431, 2.0,5.1,.386, 1.2, 2.1,.539,.568, 1.1,1.4,.774, 1.4,3.6,5.0,0.9, 0.4, 0.3,0.6,1.9, 9.3
Ike Anigbogu, IND, C,19,11, 0, 2.7,0.4,0.8, .444, 0.0,0.0,, 0.4, 0.8,.444,.444, 0.5,0.5,.833, 0.5,0.4,0.8,0.0, 0.1, 0.3,0.2,0.1, 1.2
Giannis Antetokounmpo, MIL, PF,23,75, 75, 36.7,9.9,18.7, .529, 0.6,1.9,.307, 9.3, 16.8,.554,.545, 6.5,8.5,.760, 2.1,8.0,10.0,4.8, 1.5, 1.4,3.0,3.1, 26.9
Carmelo Anthony, OKC, PF,33,78, 78, 32.1,6.1,15.0, .404, 2.2,6.1,.357, 3.9, 8.9,.437,.476, 1.9,2.5,.767, 0.9,4.9,5.8,1.3, 0.6, 0.6,1.3,2.5, 16.2
OG Anunoby, TOR, SF,20,74, 62, 20.0,2.2,4.7, .471, 1.0,2.7,.371, 1.2, 2.0,.604,.577, 0.5,0.8,.629, 0.6,1.9,2.5,0.7, 0.7, 0.2,0.6,1.8, 5.9
Ryan Arcidiacono, CHI, PG,23,24, 0, 12.7,0.7,1.7, .415, 0.4,1.3,.290, 0.3, 0.4,.800,.524, 0.2,0.3,.833, 0.0,1.0,1.0,1.5, 0.5, 0.0,0.5,0.8, 2.0
Trevor Ariza, HOU, SF,32,67, 67, 33.9,4.0,9.7, .412, 2.5,6.9,.368, 1.5, 2.8,.519,.542, 1.1,1.3,.854, 0.5,3.9,4.4,1.6, 1.5, 0.2,0.8,2.0, 11.7
Darrell Arthur, DEN, PF,29,19, 1, 7.4,1.2,2.5, .468, 0.4,1.2,.348, 0.7, 1.3,.583,.553, 0.1,0.2,.667, 0.2,0.6,0.8,0.5, 0.4, 0.2,0.8,1.2, 2.8
Jamel Artis, ORL, SG,25,15, 1, 18.6,2.1,5.3, .392, 0.5,1.9,.276, 1.5, 3.3,.460,.443, 0.5,0.8,.583, 0.3,2.3,2.5,1.2, 0.1, 0.2,0.5,0.7, 5.1
Ömer Aşık, TOT, C,31,18, 0, 10.1,0.5,1.2, .409, 0.0,0.0,, 0.5, 1.2,.409,.409, 0.2,0.7,.308, 0.5,2.1,2.6,0.2, 0.1, 0.2,0.5,1.1, 1.2
Ömer Aşık, NOP, C,31,14, 0, 8.6,0.5,1.1, .438, 0.0,0.0,, 0.5, 1.1,.438,.438, 0.3,0.9,.333, 0.5,2.1,2.6,0.1, 0.1, 0.1,0.4,1.0, 1.3
Ömer Aşık, CHI, C,31,4, 0, 15.3,0.5,1.5, .333, 0.0,0.0,, 0.5, 1.5,.333,.333, 0.0,0.3,.000, 0.5,2.0,2.5,0.3, 0.3, 0.5,1.0,1.5, 1.0
D.J. Augustin, ORL, PG,30,75, 36, 23.5,3.3,7.2, .452, 1.5,3.6,.419, 1.7, 3.6,.485,.557, 2.2,2.5,.868, 0.4,1.7,2.1,3.8, 0.7, 0.0,1.6,1.3, 10.2
Luke Babbitt, TOT, SF,28,50, 14, 14.3,1.8,4.3, .423, 1.2,3.1,.385, 0.6, 1.2,.525,.563, 0.3,0.4,.773, 0.1,1.8,1.9,0.6, 0.2, 0.1,0.4,1.1, 5.2
Luke Babbitt, ATL, SF,28,37, 9, 15.4,2.2,4.5, .476, 1.3,3.0,.441, 0.8, 1.5,.544,.622, 0.5,0.6,.773, 0.1,2.1,2.2,0.7, 0.2, 0.1,0.4,1.3, 6.1
Luke Babbitt, MIA, SF,28,13, 5, 11.2,0.8,3.6, .234, 0.8,3.5,.244, 0.0, 0.2,.000,.351, 0.0,0.0,, 0.2,1.0,1.2,0.4, 0.1, 0.2,0.3,0.5, 2.5
Dwayne Bacon, CHO, SG,22,53, 6, 13.5,1.4,3.6, .375, 0.2,0.8,.256, 1.2, 2.8,.409,.404, 0.4,0.5,.800, 0.1,2.3,2.3,0.7, 0.3, 0.0,0.4,0.9, 3.3
Ron Baker, NYK, SG,24,29, 1, 13.3,0.7,2.0, .339, 0.4,1.1,.333, 0.3, 0.9,.346,.432, 0.7,0.9,.769, 0.2,0.9,1.0,1.6, 0.9, 0.2,0.6,1.1, 2.4
Wade Baldwin, POR, PG,21,7, 0, 11.4,2.0,3.0, .667, 0.6,0.7,.800, 1.4, 2.3,.625,.762, 0.9,1.4,.600, 0.1,1.0,1.1,0.7, 0.3, 0.1,0.6,1.7, 5.4
Lonzo Ball, LAL, PG,20,52, 50, 34.2,3.9,10.8, .360, 1.7,5.7,.305, 2.2, 5.2,.420,.440, 0.6,1.4,.451, 1.3,5.6,6.9,7.2, 1.7, 0.8,2.6,2.3, 10.2
J.J. Barea, DAL, PG,33,69, 10, 23.2,4.4,10.0, .439, 1.7,4.5,.367, 2.7, 5.5,.499,.522, 1.2,1.5,.784, 0.2,2.7,2.9,6.3, 0.5, 0.0,2.1,1.2, 11.6
Harrison Barnes, DAL, PF,25,77, 77, 34.2,7.0,15.7, .445, 1.5,4.3,.357, 5.4, 11.4,.478,.494, 3.4,4.1,.827, 1.0,5.1,6.1,2.0, 0.6, 0.2,1.5,1.2, 18.9
Will Barton, DEN, SG,27,81, 40, 33.1,5.7,12.7, .452, 1.9,5.2,.370, 3.8, 7.5,.510,.528, 2.2,2.8,.805, 0.9,4.2,5.0,4.1, 1.0, 0.6,1.8,2.1, 15.7
Nicolas Batum, CHO, SG,29,64, 64, 31.0,4.2,10.2, .415, 1.4,4.3,.336, 2.8, 5.9,.473,.486, 1.7,2.0,.831, 0.9,3.9,4.8,5.5, 1.0, 0.4,2.0,1.1, 11.6
Jerryd Bayless, PHI, SG,29,39, 11, 23.7,2.8,6.7, .416, 1.4,3.7,.370, 1.4, 3.0,.474,.519, 0.9,1.1,.795, 0.4,1.7,2.1,1.4, 0.6, 0.2,1.2,2.3, 7.9
Aron Baynes, BOS, C,31,81, 67, 18.3,2.6,5.5, .471, 0.0,0.3,.143, 2.6, 5.2,.487,.474, 0.7,1.0,.756, 1.6,3.8,5.4,1.1, 0.3, 0.6,1.0,2.5, 6.0
Kent Bazemore, ATL, SG,28,65, 65, 27.5,4.4,10.4, .420, 1.7,4.2,.394, 2.7, 6.2,.438,.500, 2.5,3.1,.796, 0.4,3.4,3.8,3.5, 1.5, 0.7,2.4,2.3, 12.9
Bradley Beal, WAS, SG,24,82, 82, 36.3,8.3,18.1, .460, 2.4,6.5,.375, 5.9, 11.6,.507,.527, 3.6,4.5,.791, 0.7,3.7,4.4,4.5, 1.2, 0.4,2.6,2.0, 22.6
Malik Beasley, DEN, SG,21,62, 0, 9.4,1.2,2.9, .410, 0.5,1.3,.341, 0.7, 1.5,.469,.489, 0.4,0.5,.667, 0.2,0.9,1.1,0.5, 0.2, 0.1,0.4,0.6, 3.2
