NAME,TEAM,POS,AGE,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kareem Abdul-Jabbar*, LAL, C,40,80, 80, 28.9,6.0,11.3, .532, 0.0,0.0,.000, 6.0, 11.3,.532,.532, 2.6,3.4,.762, 1.5,4.5,6.0,1.7, 0.6, 1.2,2.0,2.7, 14.6
Mark Acres, BOS, C,25,79, 5, 14.6,1.4,2.6, .532, 0.0,0.0,, 1.4, 2.6,.532,.532, 0.9,1.4,.640, 1.3,2.1,3.4,0.5, 0.4, 0.3,0.7,2.5, 3.6
Alvan Adams, PHO, C,33,82, 25, 20.1,3.1,6.2, .496, 0.0,0.0,.500, 3.0, 6.1,.496,.497, 1.3,1.6,.844, 1.4,3.0,4.5,2.2, 1.0, 0.5,1.7,3.0, 7.5
Michael Adams, DEN, PG,25,82, 75, 33.9,5.1,11.3, .449, 1.7,4.6,.367, 3.4, 6.7,.505,.524, 2.0,2.4,.834, 0.5,2.2,2.7,6.1, 2.0, 0.2,1.8,1.7, 13.9
Mark Aguirre, DAL, SF,28,77, 77, 33.9,9.7,20.4, .475, 0.7,2.2,.302, 9.0, 18.2,.496,.491, 5.0,6.5,.770, 2.4,3.3,5.6,3.6, 0.9, 0.7,2.6,2.9, 25.1
Danny Ainge, BOS, SG,28,81, 81, 37.3,6.0,12.1, .491, 1.8,4.4,.415, 4.1, 7.7,.534,.566, 2.0,2.2,.878, 0.7,2.3,3.1,6.2, 1.4, 0.2,1.9,2.5, 15.7
Mark Alarie, WSB, PF,24,63, 0, 12.2,2.3,4.8, .480, 0.1,0.3,.222, 2.2, 4.5,.496,.487, 0.6,0.8,.714, 1.1,1.4,2.5,0.6, 0.2, 0.2,0.8,1.7, 5.2
Steve Alford, DAL, PG,23,28, 0, 7.0,0.8,2.0, .382, 0.0,0.3,.125, 0.7, 1.7,.426,.391, 0.6,0.6,.941, 0.1,0.7,0.8,0.8, 0.6, 0.1,0.4,0.8, 2.1
Greg Anderson, SAS, PF,23,82, 45, 24.2,4.6,9.2, .501, 0.0,0.1,.200, 4.6, 9.2,.503,.502, 2.4,4.0,.604, 2.0,4.3,6.3,1.0, 0.7, 1.5,1.7,2.8, 11.7
Richard Anderson, TOT, PF,27,74, 3, 18.2,2.3,5.9, .390, 0.6,2.0,.320, 1.7, 3.9,.426,.444, 0.8,1.0,.753, 1.2,2.9,4.1,1.5, 0.7, 0.2,0.8,1.9, 6.1
Richard Anderson, HOU, PF,27,12, 0, 4.4,0.9,2.2, .423, 0.5,1.3,.400, 0.4, 0.9,.455,.538, 0.3,0.4,.800, 0.8,0.7,1.4,0.3, 0.1, 0.0,0.1,0.3, 2.7
Richard Anderson, POR, PF,27,62, 3, 20.9,2.6,6.7, .387, 0.7,2.2,.311, 1.9, 4.5,.424,.438, 0.9,1.2,.750, 1.3,3.3,4.6,1.7, 0.8, 0.3,1.0,2.1, 6.7
Ron Anderson, IND, SF,29,74, 1, 14.8,2.9,5.9, .498, 0.0,0.0,.000, 2.9, 5.9,.500,.498, 1.5,1.9,.766, 1.2,1.7,2.9,1.1, 0.6, 0.1,1.0,1.3, 7.3
Joe Arlauckas, SAC, SF,22,9, 0, 9.4,1.6,4.8, .326, 0.0,0.0,, 1.6, 4.8,.326,.326, 0.7,0.9,.750, 0.7,0.8,1.4,0.9, 0.3, 0.4,0.4,1.8, 3.8
Vincent Askew, PHI, SG,21,14, 2, 16.7,1.6,5.3, .297, 0.0,0.0,, 1.6, 5.3,.297,.297, 0.6,0.8,.727, 0.4,1.1,1.6,2.4, 0.7, 0.4,0.9,0.9, 3.7
John Bagley, NJN, PG,27,82, 74, 33.8,4.8,10.9, .439, 0.6,2.0,.292, 4.2, 9.0,.471,.465, 1.8,2.2,.822, 0.7,2.4,3.1,5.8, 1.3, 0.1,2.5,2.0, 12.0
James Bailey, PHO, PF,30,65, 0, 13.4,1.7,3.7, .452, 0.0,0.1,.000, 1.7, 3.6,.460,.452, 1.1,1.4,.787, 1.1,2.1,3.2,0.6, 0.3, 0.4,1.1,2.8, 4.4
Thurl Bailey, UTA, SF,26,82, 10, 34.2,7.7,15.7, .492, 0.0,0.0,.333, 7.7, 15.6,.493,.493, 4.1,5.0,.826, 1.6,4.8,6.5,1.9, 0.6, 1.5,2.3,2.3, 19.6
Charles Barkley*, PHI, PF,24,80, 80, 39.6,9.4,16.0, .587, 0.6,2.0,.280, 8.9, 14.1,.630,.604, 8.9,11.9,.751, 4.8,7.1,11.9,3.2, 1.3, 1.3,3.8,3.5, 28.3
John Battle, ATL, SG,25,67, 1, 18.3,4.1,9.1, .454, 0.2,0.6,.390, 3.9, 8.5,.458,.467, 2.1,2.8,.750, 0.4,1.3,1.7,2.4, 0.5, 0.1,1.1,1.3, 10.6
William Bedford, DET, C,24,38, 0, 7.8,1.2,2.7, .436, 0.0,0.0,, 1.2, 2.7,.436,.436, 0.3,0.6,.565, 0.7,1.0,1.7,0.1, 0.2, 0.4,0.5,1.2, 2.7
Benoit Benjamin, LAC, C,23,66, 59, 32.9,5.2,10.5, .491, 0.0,0.1,.000, 5.2, 10.4,.496,.491, 2.7,3.9,.706, 1.7,6.3,8.0,2.6, 0.8, 3.4,3.4,3.1, 13.0
Kent Benson, CLE, C,33,2, 0, 6.0,1.0,1.0, 1.000, 0.0,0.0,, 1.0, 1.0,1.000,1.000, 0.5,1.0,.500, 0.0,0.5,0.5,0.0, 0.5, 0.5,1.0,1.0, 2.5
Walter Berry, SAS, SF,23,73, 56, 26.3,7.4,13.2, .563, 0.0,0.0,, 7.4, 13.2,.563,.563, 2.6,4.4,.600, 2.4,3.0,5.4,1.5, 0.8, 0.9,2.2,2.8, 17.4
Larry Bird*, BOS, SF,31,76, 75, 39.0,11.6,22.0, .527, 1.3,3.1,.414, 10.3, 18.9,.546,.556, 5.5,6.0,.916, 1.4,7.8,9.3,6.1, 1.6, 0.8,2.8,2.1, 29.9
Otis Birdsong, NJN, SG,32,67, 59, 28.1,5.0,11.0, .458, 0.1,0.4,.360, 4.9, 10.6,.461,.464, 0.7,1.4,.511, 1.1,1.4,2.5,3.3, 0.8, 0.2,1.9,2.1, 10.9
Uwe Blab, DAL, C,25,73, 1, 9.0,0.8,1.8, .439, 0.0,0.0,, 0.8, 1.8,.439,.439, 0.6,0.9,.708, 0.7,1.1,1.8,0.5, 0.1, 0.4,0.7,1.5, 2.2
