NAME,TEAM,POS,AGE,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Mahmoud Abdul-Rauf, SAC, PG,28,31, 0, 17.1,3.3,8.8, .377, 0.2,1.0,.161, 3.2, 7.8,.405,.386, 0.5,0.5,1.000, 0.2,1.0,1.2,1.9, 0.5, 0.0,0.6,1.0, 7.3
Tariq Abdul-Wahad, SAC, SG,23,59, 16, 16.3,2.4,6.1, .403, 0.1,0.3,.211, 2.4, 5.7,.414,.409, 1.4,2.1,.672, 0.7,1.2,2.0,0.9, 0.6, 0.2,1.1,1.4, 6.4
Shareef Abdur-Rahim, VAN, SF,21,82, 82, 36.0,8.0,16.4, .485, 0.3,0.6,.412, 7.7, 15.8,.488,.493, 6.1,7.8,.784, 2.8,4.3,7.1,2.6, 1.1, 0.9,3.1,2.5, 22.3
Cory Alexander, TOT, PG,24,60, 22, 21.6,2.9,6.7, .428, 1.1,2.9,.375, 1.8, 3.7,.469,.510, 1.3,1.7,.784, 0.3,2.2,2.4,3.5, 1.2, 0.2,1.9,1.6, 8.1
Cory Alexander, SAS, PG,24,37, 3, 13.5,1.6,3.9, .414, 0.5,1.7,.313, 1.1, 2.2,.494,.483, 0.7,1.0,.676, 0.2,1.1,1.3,1.9, 0.7, 0.1,1.3,1.4, 4.5
Cory Alexander, DEN, PG,24,23, 19, 34.7,4.8,11.1, .435, 2.0,4.9,.411, 2.8, 6.2,.455,.525, 2.4,2.8,.846, 0.4,3.9,4.3,6.0, 2.0, 0.3,2.8,2.0, 14.0
Ray Allen*, MIL, SG,22,82, 82, 40.1,6.9,16.0, .428, 1.6,4.5,.364, 5.2, 11.5,.453,.479, 4.2,4.8,.875, 1.5,3.4,4.9,4.3, 1.4, 0.1,3.2,3.0, 19.5
Derek Anderson, CLE, SF,23,66, 13, 27.9,3.6,8.9, .408, 0.3,1.3,.202, 3.4, 7.6,.442,.422, 4.2,4.8,.873, 0.8,2.0,2.8,3.4, 1.3, 0.2,1.9,2.1, 11.7
Greg Anderson, ATL, C,33,50, 0, 8.0,0.7,1.6, .444, 0.0,0.1,.000, 0.7, 1.5,.474,.444, 0.3,0.8,.390, 0.8,1.6,2.4,0.3, 0.4, 0.2,0.3,1.7, 1.8
Kenny Anderson, TOT, PG,27,61, 56, 30.5,4.4,11.0, .398, 0.9,2.6,.356, 3.5, 8.4,.411,.440, 2.5,3.2,.789, 0.6,2.2,2.8,5.7, 1.4, 0.0,2.3,2.2, 12.2
Kenny Anderson, POR, PG,27,45, 40, 32.7,4.5,11.7, .387, 1.0,3.0,.353, 3.5, 8.8,.398,.432, 2.5,3.2,.772, 0.8,2.2,3.0,5.4, 1.4, 0.0,2.5,2.2, 12.6
Kenny Anderson, BOS, PG,27,16, 16, 24.1,4.0,9.2, .435, 0.6,1.7,.370, 3.4, 7.5,.450,.469, 2.6,3.1,.837, 0.2,2.3,2.4,6.3, 1.6, 0.0,1.8,2.3, 11.2
Nick Anderson, ORL, SF,30,58, 44, 29.3,5.9,13.0, .455, 1.3,3.7,.360, 4.6, 9.3,.493,.506, 2.2,3.4,.638, 1.7,3.4,5.1,2.1, 1.2, 0.4,1.5,1.7, 15.3
Shandon Anderson, UTA, SG,24,82, 2, 19.5,3.3,6.1, .538, 0.1,0.4,.219, 3.2, 5.7,.560,.545, 1.7,2.3,.735, 1.0,1.7,2.8,1.1, 0.8, 0.2,1.1,1.8, 8.3
Chris Anstey, DAL, C,23,41, 8, 16.6,2.2,5.6, .398, 0.1,0.4,.188, 2.2, 5.2,.414,.405, 1.3,1.8,.716, 1.3,2.5,3.8,0.9, 0.8, 0.7,1.0,2.3, 5.9
Greg Anthony, SEA, PG,30,80, 0, 12.8,1.9,4.4, .430, 0.8,2.0,.415, 1.1, 2.4,.442,.524, 0.7,1.0,.663, 0.2,1.2,1.4,2.6, 0.8, 0.0,1.1,1.2, 5.2
B.J. Armstrong, TOT, PG,30,66, 0, 12.6,1.6,3.2, .493, 0.1,0.5,.257, 1.5, 2.7,.539,.514, 0.6,0.8,.840, 0.2,0.9,1.2,2.3, 0.4, 0.0,0.6,1.1, 4.0
B.J. Armstrong, GSW, PG,30,4, 0, 14.8,1.5,4.8, .316, 0.0,0.3,.000, 1.5, 4.5,.333,.316, 1.3,1.8,.714, 1.0,0.8,1.8,1.5, 1.0, 0.0,1.8,1.5, 4.3
B.J. Armstrong, CHH, PG,30,62, 0, 12.5,1.6,3.1, .510, 0.1,0.5,.265, 1.5, 2.6,.563,.534, 0.6,0.7,.860, 0.2,0.9,1.1,2.3, 0.4, 0.0,0.6,1.1, 3.9
Darrell Armstrong, ORL, PG,29,48, 17, 25.8,3.3,7.9, .411, 0.5,1.4,.368, 2.7, 6.5,.420,.443, 2.2,2.6,.854, 1.4,2.0,3.3,4.9, 1.2, 0.1,2.3,2.0, 9.2
Vincent Askew, POR, SG,31,30, 5, 14.8,0.6,1.8, .352, 0.0,0.1,.000, 0.6, 1.7,.365,.352, 0.9,1.3,.718, 0.7,1.6,2.3,1.3, 0.6, 0.2,1.2,1.3, 2.2
Keith Askins, MIA, SF,30,46, 12, 14.8,0.8,2.7, .320, 0.5,1.6,.284, 0.4, 1.0,.375,.406, 0.3,0.4,.632, 0.6,1.6,2.2,0.6, 0.6, 0.3,0.6,2.3, 2.4
