NAME,TEAM,POS,AGE,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Shareef Abdur-Rahim, TOT, PF,27,85, 56, 31.6,5.9,12.4, .475, 0.1,0.4,.265, 5.8, 12.0,.482,.480, 4.4,5.0,.869, 2.2,5.3,7.5,2.0, 0.8, 0.4,2.2,2.6, 16.3
Shareef Abdur-Rahim, ATL, PF,27,53, 53, 36.9,7.2,14.9, .485, 0.1,0.4,.217, 7.1, 14.5,.493,.488, 5.5,6.3,.880, 2.7,6.7,9.3,2.4, 0.8, 0.4,2.5,2.8, 20.1
Shareef Abdur-Rahim, POR, PF,27,32, 3, 22.8,3.7,8.3, .447, 0.1,0.3,.364, 3.6, 7.9,.451,.455, 2.5,3.0,.832, 1.5,3.0,4.5,1.5, 0.8, 0.6,1.7,2.3, 10.0
Malik Allen, MIA, PF,25,45, 6, 13.7,1.8,4.4, .419, 0.0,0.0,, 1.8, 4.4,.419,.419, 0.6,0.7,.758, 0.9,1.7,2.6,0.4, 0.3, 0.6,0.6,1.8, 4.2
Ray Allen*, SEA, SG,28,56, 56, 38.4,8.0,18.2, .440, 2.6,6.8,.392, 5.3, 11.4,.468,.512, 4.4,4.8,.904, 1.2,3.9,5.1,4.8, 1.3, 0.2,2.8,2.4, 23.0
Rafer Alston, MIA, PG,27,82, 28, 31.5,3.5,9.3, .376, 2.0,5.3,.371, 1.5, 4.0,.382,.481, 1.3,1.6,.769, 0.3,2.4,2.8,4.5, 1.4, 0.2,1.6,2.6, 10.2
Chris Andersen, DEN, PF,25,71, 0, 14.5,1.3,2.9, .443, 0.0,0.0,.000, 1.3, 2.8,.446,.443, 0.9,1.5,.589, 1.3,2.9,4.2,0.5, 0.5, 1.6,0.7,1.7, 3.4
Derek Anderson, POR, SG,29,51, 46, 35.5,4.5,12.0, .376, 1.5,5.1,.305, 3.0, 6.9,.428,.440, 3.0,3.7,.824, 0.5,3.1,3.6,4.5, 1.3, 0.1,1.8,1.5, 13.6
Kenny Anderson, IND, PG,33,44, 31, 20.6,2.6,5.8, .441, 0.0,0.1,.250, 2.5, 5.7,.444,.443, 0.8,1.1,.729, 0.4,1.4,1.8,2.8, 0.6, 0.1,1.1,1.7, 6.0
Shandon Anderson, NYK, SG,30,80, 37, 24.7,3.0,7.1, .422, 0.5,1.6,.281, 2.5, 5.5,.463,.454, 1.5,2.0,.764, 0.7,2.1,2.8,1.5, 0.9, 0.2,1.5,2.3, 7.9
Carmelo Anthony, DEN, SF,19,82, 82, 36.5,7.6,17.9, .426, 0.8,2.6,.322, 6.8, 15.3,.444,.449, 5.0,6.4,.777, 2.2,3.8,6.1,2.8, 1.2, 0.5,3.0,2.7, 21.0
Robert Archibald, TOT, C-PF,23,32, 3, 8.0,0.3,1.0, .273, 0.0,0.0,, 0.3, 1.0,.273,.273, 0.4,1.0,.452, 0.7,1.0,1.6,0.4, 0.4, 0.1,0.3,1.6, 1.0
Robert Archibald, PHO, PF,23,1, 0, 6.0,0.0,1.0, .000, 0.0,0.0,, 0.0, 1.0,.000,.000, 1.0,2.0,.500, 0.0,1.0,1.0,1.0, 0.0, 0.0,1.0,1.0, 1.0
Robert Archibald, ORL, PF,23,1, 0, 4.0,1.0,2.0, .500, 0.0,0.0,, 1.0, 2.0,.500,.500, 0.0,2.0,.000, 0.0,1.0,1.0,0.0, 1.0, 0.0,0.0,0.0, 2.0
Robert Archibald, TOR, C,23,30, 3, 8.2,0.3,1.0, .267, 0.0,0.0,, 0.3, 1.0,.267,.267, 0.4,0.9,.481, 0.7,1.0,1.7,0.4, 0.4, 0.1,0.3,1.6, 1.0
Gilbert Arenas, WAS, PG,22,55, 52, 37.6,6.5,16.6, .392, 2.3,6.1,.375, 4.2, 10.6,.401,.460, 4.3,5.8,.748, 1.0,3.6,4.6,5.0, 1.9, 0.2,4.1,3.2, 19.6
Brandon Armstrong, NJN, SG,23,56, 0, 7.8,1.2,3.1, .371, 0.3,0.9,.365, 0.8, 2.2,.374,.426, 0.0,0.1,.500, 0.2,0.6,0.8,0.3, 0.2, 0.0,0.4,0.9, 2.7
Darrell Armstrong, NOH, PG,35,79, 22, 28.4,3.7,9.3, .395, 1.7,5.4,.315, 2.0, 3.9,.508,.487, 1.6,1.8,.854, 0.8,2.1,2.9,3.9, 1.7, 0.2,2.0,1.9, 10.6
Carlos Arroyo, UTA, PG,24,71, 71, 28.3,4.8,10.8, .441, 0.5,1.6,.325, 4.2, 9.2,.462,.466, 2.5,3.2,.804, 0.6,2.0,2.6,5.0, 0.9, 0.1,2.2,2.3, 12.6
