NAME,TEAM,POS,AGE,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Quincy Acy, NYK, PF,24,68, 22, 18.9,2.2,4.9, .459, 0.3,0.9,.300, 2.0, 4.0,.494,.486, 1.1,1.4,.784, 1.2,3.3,4.4,1.0, 0.4, 0.3,0.9,2.2, 5.9
Jordan Adams, MEM, SG,20,30, 0, 8.3,1.2,2.9, .407, 0.3,0.8,.400, 0.8, 2.0,.410,.465, 0.5,0.8,.609, 0.3,0.6,0.9,0.5, 0.5, 0.2,0.5,0.8, 3.1
Steven Adams, OKC, C,21,70, 67, 25.3,3.1,5.7, .544, 0.0,0.0,.000, 3.1, 5.7,.547,.544, 1.5,2.9,.502, 2.8,4.6,7.5,0.9, 0.5, 1.2,1.4,3.2, 7.7
Jeff Adrien, MIN, PF,28,17, 0, 12.6,1.1,2.6, .432, 0.0,0.0,, 1.1, 2.6,.432,.432, 1.3,2.2,.579, 1.4,3.2,4.5,0.9, 0.2, 0.5,0.5,1.8, 3.5
Arron Afflalo, TOT, SG,29,78, 72, 32.1,4.8,11.3, .424, 1.5,4.3,.354, 3.3, 7.1,.466,.491, 2.1,2.5,.843, 0.3,2.8,3.2,1.7, 0.5, 0.1,1.5,2.1, 13.3
Arron Afflalo, DEN, SG,29,53, 53, 33.0,5.3,12.4, .428, 1.5,4.6,.337, 3.8, 7.8,.481,.490, 2.4,2.8,.841, 0.4,3.0,3.4,1.9, 0.6, 0.1,1.6,2.0, 14.5
Arron Afflalo, POR, SG,29,25, 19, 30.1,3.8,9.1, .414, 1.4,3.6,.400, 2.3, 5.5,.423,.493, 1.6,1.9,.851, 0.2,2.4,2.7,1.1, 0.4, 0.1,1.3,2.4, 10.6
Alexis Ajinça, NOP, C,26,68, 8, 14.1,2.7,4.8, .550, 0.0,0.0,, 2.7, 4.8,.550,.550, 1.2,1.5,.818, 1.5,3.1,4.6,0.7, 0.3, 0.8,1.0,2.2, 6.5
Furkan Aldemir, PHI, PF,23,41, 9, 13.2,1.0,1.9, .513, 0.0,0.1,.000, 1.0, 1.8,.548,.513, 0.3,0.7,.481, 1.9,2.4,4.3,0.7, 0.4, 0.4,0.4,2.3, 2.3
Cole Aldrich, NYK, C,26,61, 16, 16.0,2.4,4.9, .478, 0.0,0.0,, 2.4, 4.9,.478,.478, 0.8,1.0,.781, 1.7,3.9,5.5,1.2, 0.6, 1.1,1.0,2.0, 5.5
LaMarcus Aldridge, POR, PF,29,71, 71, 35.4,9.3,19.9, .466, 0.5,1.5,.352, 8.8, 18.5,.475,.479, 4.3,5.1,.845, 2.5,7.7,10.2,1.7, 0.7, 1.0,1.7,1.8, 23.4
