NAME,TEAM,POS,AGE,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Todd Day, TOT, SG,26,79, 12, 22.9,3.8,10.3, .366, 1.3,3.8,.331, 2.5, 6.5,.386,.427, 2.8,3.6,.780, 0.9,1.9,2.8,1.4, 1.0, 0.6,1.4,2.8, 11.7
Todd Day, MIL, SG,26,8, 0, 21.4,2.8,8.9, .310, 0.6,3.1,.200, 2.1, 5.8,.370,.345, 3.0,3.3,.923, 1.0,1.8,2.8,0.6, 0.5, 0.4,1.4,3.4, 9.1
Todd Day, BOS, SG,26,71, 12, 23.0,3.9,10.5, .371, 1.3,3.9,.343, 2.6, 6.6,.388,.435, 2.8,3.7,.766, 0.9,2.0,2.8,1.4, 1.1, 0.7,1.4,2.8, 12.0
Andrew DeClercq, GSW, C,22,22, 1, 9.2,1.1,2.3, .480, 0.0,0.0,.000, 1.1, 2.2,.490,.480, 0.5,0.9,.579, 0.8,1.0,1.8,0.4, 0.3, 0.2,0.2,1.4, 2.7
Terry Dehere, LAC, PG,24,82, 10, 24.6,3.8,8.4, .459, 1.7,3.9,.440, 2.1, 4.5,.476,.560, 3.0,4.0,.755, 0.5,1.2,1.7,4.3, 0.7, 0.2,2.3,2.9, 12.4
Vinny Del Negro, SAS, SG,29,82, 82, 33.7,5.8,11.7, .497, 0.7,1.8,.380, 5.1, 9.9,.518,.527, 2.2,2.6,.832, 0.4,2.9,3.3,3.8, 1.0, 0.1,1.2,2.0, 14.5
Bison Dele, LAC, C,26,65, 65, 33.2,6.4,11.8, .543, 0.0,0.1,.167, 6.4, 11.7,.546,.544, 3.0,4.1,.734, 2.3,5.3,7.6,1.9, 1.1, 0.8,2.9,3.5, 15.8
Dell Demps, SAS, SG,25,16, 0, 5.4,1.2,2.1, .576, 0.1,0.1,.500, 1.1, 1.9,.581,.591, 0.9,1.1,.824, 0.1,0.4,0.6,0.5, 0.2, 0.1,0.8,0.6, 3.3
Vlade Divac*, LAL, C,27,79, 79, 31.3,5.2,10.2, .513, 0.0,0.2,.167, 5.2, 10.0,.521,.515, 2.4,3.7,.641, 2.5,6.1,8.6,3.3, 1.0, 1.7,2.5,3.5, 12.9
Sherman Douglas, TOT, PG,29,79, 66, 29.6,4.4,8.7, .504, 0.5,1.4,.364, 3.9, 7.3,.530,.533, 2.0,2.8,.731, 0.7,1.6,2.3,5.5, 0.8, 0.1,2.5,2.1, 11.3
Sherman Douglas, BOS, PG,29,10, 4, 23.4,3.6,8.4, .429, 0.1,0.7,.143, 3.5, 7.7,.455,.435, 2.5,4.0,.625, 0.6,1.7,2.3,3.9, 0.2, 0.0,2.9,1.6, 9.8
Sherman Douglas, MIL, PG,29,69, 62, 30.4,4.5,8.7, .514, 0.6,1.5,.379, 3.9, 7.2,.542,.547, 2.0,2.6,.754, 0.7,1.6,2.3,5.8, 0.9, 0.1,2.4,2.1, 11.5
Clyde Drexler*, HOU, SG,33,52, 51, 38.4,6.4,14.7, .433, 1.5,4.5,.332, 4.9, 10.2,.478,.484, 5.1,6.5,.784, 1.9,5.3,7.2,5.8, 2.0, 0.5,2.6,2.9, 19.3
Kevin Duckworth, MIL, C,31,8, 1, 7.3,0.4,1.8, .214, 0.0,0.0,, 0.4, 1.8,.214,.214, 0.4,0.8,.500, 0.3,0.6,0.9,0.3, 0.3, 0.0,0.3,2.4, 1.1
Chris Dudley, POR, C,30,80, 61, 24.1,2.0,4.5, .453, 0.0,0.0,.000, 2.0, 4.5,.454,.453, 1.0,2.0,.510, 3.0,6.0,9.0,0.5, 0.5, 1.3,1.0,3.1, 5.1
Joe Dumars*, DET, PG,32,67, 40, 32.7,3.8,8.9, .426, 1.8,4.4,.406, 2.0, 4.5,.447,.528, 2.4,2.9,.822, 0.4,1.6,2.1,4.0, 0.6, 0.0,1.4,1.6, 11.8
Richard Dumas, PHI, PF,26,39, 14, 18.9,2.4,5.2, .468, 0.1,0.2,.222, 2.4, 5.0,.479,.473, 1.3,1.8,.700, 1.1,1.5,2.5,1.1, 1.1, 0.2,1.3,2.0, 6.2
Tony Dumas, DAL, SG,23,67, 12, 19.2,4.1,9.8, .418, 1.1,3.1,.357, 3.0, 6.7,.446,.475, 2.3,3.8,.599, 0.9,0.9,1.7,1.5, 0.6, 0.2,1.1,1.9, 11.6
Ledell Eackles, WSB, SG,29,55, 26, 22.5,2.9,6.9, .427, 1.0,2.3,.422, 1.9, 4.5,.430,.499, 1.8,2.1,.831, 0.8,1.9,2.7,1.6, 0.5, 0.1,1.0,1.5, 8.6
Acie Earl, TOR, C,25,42, 7, 15.6,2.8,6.6, .424, 0.0,0.1,.000, 2.8, 6.5,.429,.424, 2.0,2.7,.719, 1.2,1.9,3.1,0.6, 0.4, 0.9,1.2,1.7, 7.5
Tyus Edney, SAC, PG,22,80, 60, 31.0,3.8,9.3, .412, 0.7,1.8,.368, 3.2, 7.5,.423,.448, 2.5,3.2,.782, 0.8,1.7,2.5,6.1, 1.1, 0.0,2.4,2.5, 10.8
Blue Edwards, VAN, SF,30,82, 82, 33.8,4.9,11.7, .419, 1.0,3.0,.343, 3.9, 8.7,.446,.463, 1.9,2.5,.755, 1.2,3.0,4.2,2.6, 1.4, 0.6,2.1,3.0, 12.7
Doug Edwards, VAN, PF,25,31, 0, 16.7,1.0,2.9, .352, 0.0,0.1,.000, 1.0, 2.8,.368,.352, 0.9,1.2,.763, 1.1,1.7,2.8,1.3, 0.3, 0.6,0.9,1.6, 3.0
James Edwards, CHI, C,40,28, 0, 9.8,1.5,3.9, .373, 0.0,0.0,, 1.5, 3.9,.373,.373, 0.6,0.9,.615, 0.5,0.9,1.4,0.4, 0.0, 0.3,0.8,2.2, 3.5
Kevin Edwards, NJN, SG,30,34, 33, 29.6,4.2,11.5, .364, 1.2,3.1,.404, 2.9, 8.4,.350,.418, 2.0,2.5,.810, 0.4,1.8,2.2,2.1, 1.6, 0.2,2.0,2.0, 11.6
Craig Ehlo, ATL, SG,34,79, 8, 22.3,3.2,7.5, .428, 1.0,2.8,.371, 2.2, 4.7,.462,.497, 1.0,1.3,.786, 0.8,2.4,3.2,1.7, 1.1, 0.1,1.3,1.7, 8.5
Howard Eisley, UTA, PG,23,65, 0, 14.8,1.6,3.7, .430, 0.2,1.0,.226, 1.4, 2.8,.500,.459, 1.0,1.2,.844, 0.3,0.9,1.2,2.2, 0.4, 0.0,1.2,2.0, 4.4
Mario Elie, HOU, SF,32,45, 16, 30.8,4.0,7.9, .504, 0.9,2.8,.323, 3.1, 5.1,.604,.562, 2.2,2.6,.852, 1.0,2.4,3.4,3.1, 1.0, 0.2,1.3,2.1, 11.1
Sean Elliott, SAS, SF,27,77, 77, 37.7,6.8,14.6, .466, 2.1,5.1,.411, 4.7, 9.5,.495,.537, 4.2,5.5,.771, 0.9,4.2,5.1,2.7, 0.9, 0.4,2.6,2.3, 20.0
Dale Ellis, DEN, SF,35,81, 52, 32.4,5.7,11.8, .479, 1.9,4.5,.412, 3.8, 7.3,.519,.557, 1.7,2.2,.760, 1.1,2.8,3.9,1.7, 0.7, 0.1,1.2,2.4, 14.9
LaPhonso Ellis, DEN, SF,25,45, 28, 28.2,4.2,9.6, .438, 0.1,0.5,.182, 4.1, 9.1,.451,.442, 2.0,3.3,.601, 2.1,5.1,7.2,1.6, 0.8, 0.7,1.8,3.6, 10.5
LeRon Ellis, MIA, C,26,12, 1, 6.2,0.4,1.8, .227, 0.0,0.0,, 0.4, 1.8,.227,.227, 0.3,0.5,.500, 0.4,0.3,0.7,0.3, 0.2, 0.3,0.3,0.9, 1.1
Pervis Ellison, BOS, C,28,69, 29, 20.7,2.1,4.3, .492, 0.0,0.0,, 2.1, 4.3,.492,.492, 1.1,1.7,.641, 2.2,4.3,6.5,0.9, 0.6, 1.4,1.2,3.0, 5.3
Vincenzo Esposito, TOR, PG,26,30, 0, 9.4,1.2,3.3, .360, 0.4,1.9,.232, 0.8, 1.5,.523,.425, 1.0,1.3,.795, 0.1,0.4,0.5,0.8, 0.2, 0.0,1.3,0.9, 3.9
Patrick Ewing*, NYK, C,33,76, 76, 36.6,8.9,19.2, .466, 0.1,0.4,.143, 8.9, 18.8,.472,.467, 4.6,6.1,.761, 2.1,8.5,10.6,2.1, 0.9, 2.4,2.9,3.3, 22.5
Duane Ferrell, IND, SF,30,54, 6, 10.9,1.5,3.1, .482, 0.0,0.1,.000, 1.5, 2.9,.506,.482, 0.8,1.1,.737, 0.6,1.1,1.7,0.6, 0.4, 0.1,0.6,1.5, 3.7
Danny Ferry, CLE, PF,29,82, 79, 32.7,5.1,11.2, .459, 1.7,4.4,.394, 3.4, 6.8,.502,.537, 1.3,1.6,.769, 0.9,2.9,3.8,2.3, 0.7, 0.5,1.5,2.8, 13.3
Michael Finley, PHO, SF,22,82, 72, 39.2,5.7,11.9, .476, 0.7,2.3,.328, 4.9, 9.6,.511,.508, 3.0,3.9,.749, 1.7,2.9,4.6,3.5, 1.0, 0.4,1.6,2.4, 15.0
Matt Fish, TOT, C,26,18, 1, 7.4,1.2,2.0, .583, 0.0,0.0,, 1.2, 2.0,.583,.583, 0.6,1.1,.526, 0.6,0.6,1.2,0.4, 0.2, 0.4,0.2,1.1, 2.9
Matt Fish, NYK, C,26,2, 1, 8.5,3.0,5.0, .600, 0.0,0.0,, 3.0, 5.0,.600,.600, 0.0,0.5,.000, 1.5,0.0,1.5,0.5, 0.0, 0.5,0.0,1.5, 6.0
Matt Fish, DEN, C,26,16, 0, 7.3,0.9,1.6, .577, 0.0,0.0,, 0.9, 1.6,.577,.577, 0.6,1.1,.556, 0.4,0.7,1.1,0.4, 0.2, 0.4,0.2,1.0, 2.5
Vern Fleming, NJN, PG,33,77, 3, 22.7,2.9,6.8, .433, 0.0,0.4,.107, 2.9, 6.4,.452,.436, 1.7,2.3,.751, 0.6,1.6,2.2,3.3, 0.5, 0.1,1.6,1.5, 7.7
Sherell Ford, SEA, SF,23,28, 1, 5.0,1.1,2.9, .375, 0.1,0.9,.160, 0.9, 2.0,.473,.400, 0.9,1.2,.765, 0.4,0.4,0.9,0.2, 0.3, 0.0,0.2,1.0, 3.2
Greg Foster, UTA, C,27,73, 2, 11.0,1.5,3.3, .439, 0.0,0.1,.125, 1.5, 3.2,.449,.441, 0.8,1.0,.847, 0.7,1.7,2.4,0.3, 0.1, 0.3,0.8,1.6, 3.8
Rick Fox, BOS, SF,26,81, 81, 32.0,5.2,11.5, .454, 1.2,3.4,.364, 4.0, 8.1,.491,.507, 2.4,3.1,.772, 2.0,3.6,5.6,4.6, 1.4, 0.5,2.7,3.6, 14.0
Kevin Gamble, TOT, SF,30,65, 13, 20.4,2.3,5.8, .401, 0.7,1.8,.386, 1.7, 4.1,.408,.459, 0.6,0.7,.792, 0.3,1.4,1.7,1.5, 0.5, 0.1,0.7,2.3, 5.9
Kevin Gamble, MIA, SF,30,44, 13, 23.5,2.7,6.8, .394, 0.9,2.1,.418, 1.8, 4.7,.383,.458, 0.8,0.9,.868, 0.3,1.6,2.0,1.9, 0.7, 0.1,0.7,2.7, 6.9
Kevin Gamble, SAC, SF,30,21, 0, 13.9,1.7,3.9, .427, 0.3,1.1,.261, 1.4, 2.8,.492,.463, 0.2,0.5,.500, 0.3,1.0,1.3,0.9, 0.2, 0.1,0.5,1.3, 3.9
Kevin Garnett, MIN, SF,19,80, 43, 28.7,4.5,9.2, .491, 0.1,0.4,.286, 4.4, 8.8,.499,.497, 1.3,1.9,.705, 2.2,4.1,6.3,1.8, 1.1, 1.6,1.4,2.4, 10.4
Chris Gatling, TOT, PF,28,71, 2, 20.1,4.6,8.0, .575, 0.0,0.0,.000, 4.6, 8.0,.576,.575, 2.0,2.9,.671, 1.8,4.1,5.9,0.6, 0.5, 0.6,1.3,3.1, 11.1
Chris Gatling, GSW, PF,28,47, 2, 18.3,3.6,6.6, .555, 0.0,0.0,.000, 3.6, 6.5,.557,.555, 1.8,2.8,.636, 1.7,3.5,5.1,0.6, 0.4, 0.6,1.3,2.9, 9.1
Chris Gatling, MIA, PF,28,24, 0, 23.5,6.5,10.8, .598, 0.0,0.0,, 6.5, 10.8,.598,.598, 2.3,3.1,.733, 2.1,5.2,7.3,0.7, 0.7, 0.5,1.5,3.4, 15.2
Kenny Gattison, VAN, PF,31,25, 14, 22.8,3.6,7.6, .479, 0.0,0.0,, 3.6, 7.6,.479,.479, 1.9,3.1,.603, 1.4,3.2,4.6,0.6, 0.4, 0.4,1.6,3.0, 9.2
Matt Geiger, CHH, C,26,77, 50, 30.5,4.6,8.6, .536, 0.0,0.1,.375, 4.6, 8.5,.538,.538, 1.9,2.7,.727, 2.6,5.8,8.4,0.8, 0.6, 0.8,1.8,3.8, 11.2
Kendall Gill, TOT, SG,27,47, 46, 35.8,5.2,11.1, .469, 0.6,1.7,.329, 4.7, 9.5,.494,.494, 2.9,3.7,.784, 1.5,3.4,4.9,5.5, 1.4, 0.5,2.8,2.8, 14.0
Kendall Gill, CHH, SG,27,36, 36, 35.1,5.0,10.3, .481, 0.5,1.5,.315, 4.5, 8.8,.509,.504, 2.5,3.3,.761, 1.6,3.7,5.3,6.3, 1.2, 0.6,3.1,2.8, 12.9
Kendall Gill, NJN, SG,27,11, 10, 38.0,6.1,13.8, .441, 0.8,2.3,.360, 5.3, 11.5,.457,.470, 4.5,5.4,.831, 1.5,2.5,3.9,3.2, 2.0, 0.2,1.9,2.7, 17.5
Armen Gilliam, NJN, SF,31,78, 76, 36.6,7.4,15.6, .474, 0.0,0.0,.000, 7.4, 15.6,.474,.474, 3.6,4.5,.791, 3.1,6.1,9.1,1.8, 0.9, 0.7,2.3,2.3, 18.3
Gerald Glass, TOT, SF,28,15, 0, 4.7,0.8,2.2, .364, 0.1,0.4,.167, 0.7, 1.8,.407,.379, 0.1,0.1,1.000, 0.4,0.1,0.5,0.3, 0.2, 0.1,0.0,0.7, 1.7
Gerald Glass, NJN, SF,28,10, 0, 5.6,1.0,2.8, .357, 0.1,0.5,.200, 0.9, 2.3,.391,.375, 0.0,0.0,, 0.5,0.1,0.6,0.4, 0.2, 0.1,0.0,0.5, 2.1
Gerald Glass, CHH, SF,28,5, 0, 3.0,0.4,1.0, .400, 0.0,0.2,.000, 0.4, 0.8,.500,.400, 0.2,0.2,1.000, 0.2,0.2,0.4,0.0, 0.2, 0.0,0.0,1.0, 1.0
Anthony Goldwire, CHH, PG,24,42, 8, 14.8,1.8,4.5, .402, 0.8,2.0,.398, 1.0, 2.5,.406,.489, 1.1,1.4,.767, 0.2,0.8,1.0,2.7, 0.4, 0.0,1.5,1.9, 5.5
Greg Graham, TOT, SG,25,53, 5, 11.6,1.5,3.6, .404, 0.6,1.5,.390, 0.9, 2.1,.414,.487, 1.0,1.3,.765, 0.3,0.8,1.1,1.0, 0.5, 0.0,0.9,1.2, 4.5
Greg Graham, PHI, SG,25,8, 3, 16.0,2.1,4.0, .531, 0.9,1.8,.500, 1.3, 2.3,.556,.641, 1.9,2.1,.882, 0.6,1.3,1.9,1.4, 0.6, 0.0,2.1,2.0, 7.0
Greg Graham, NJN, SG,25,45, 2, 10.8,1.4,3.6, .379, 0.6,1.5,.368, 0.8, 2.1,.387,.457, 0.8,1.1,.725, 0.3,0.7,0.9,0.9, 0.4, 0.0,0.6,1.1, 4.1
Ron Grandison, TOT, PF,31,28, 3, 11.1,0.8,2.1, .379, 0.1,0.5,.286, 0.6, 1.6,.409,.414, 0.6,0.9,.680, 0.7,1.3,2.0,0.5, 0.4, 0.1,0.4,1.1, 2.3
Ron Grandison, MIA, PF,31,18, 3, 13.1,0.7,2.2, .333, 0.2,0.7,.308, 0.5, 1.4,.346,.385, 0.7,1.1,.684, 0.8,1.2,2.0,0.6, 0.4, 0.1,0.6,1.5, 2.4
Ron Grandison, ATL, PF,31,4, 0, 4.8,0.5,1.0, .500, 0.0,0.3,.000, 0.5, 0.8,.667,.500, 0.0,0.0,, 0.3,1.3,1.5,0.3, 0.0, 0.0,0.0,0.0, 1.0
Ron Grandison, NYK, PF,31,6, 0, 9.5,1.2,2.5, .467, 0.0,0.0,, 1.2, 2.5,.467,.467, 0.7,1.0,.667, 0.8,1.3,2.2,0.3, 0.7, 0.2,0.2,0.7, 3.0
Brian Grant, SAC, PF,23,78, 75, 30.7,5.5,10.8, .507, 0.1,0.2,.235, 5.4, 10.6,.513,.510, 3.4,4.6,.732, 2.2,4.7,7.0,1.6, 0.5, 1.3,2.4,3.4, 14.4
Gary Grant, NYK, PG,30,47, 1, 12.7,1.9,3.9, .486, 0.2,0.5,.333, 1.7, 3.3,.510,.508, 1.0,1.2,.828, 0.3,0.9,1.1,1.5, 0.8, 0.1,1.0,1.9, 4.9
Greg Grant, TOT, PG,29,31, 2, 17.0,1.1,3.2, .354, 0.3,1.1,.235, 0.9, 2.1,.415,.394, 0.2,0.2,.833, 0.2,0.9,1.1,3.1, 0.7, 0.1,1.0,1.4, 2.7
Greg Grant, PHI, PG,29,11, 2, 25.5,1.6,4.4, .375, 0.4,1.6,.222, 1.3, 2.7,.467,.417, 0.5,0.5,.833, 0.3,1.6,1.9,5.5, 1.1, 0.2,1.4,2.5, 4.1
Greg Grant, WSB, PG,29,10, 0, 13.8,1.1,2.8, .393, 0.2,1.0,.200, 0.9, 1.8,.500,.429, 0.0,0.0,, 0.1,0.5,0.6,2.3, 0.8, 0.0,1.0,0.8, 2.4
