NAME,TEAM,POS,AGE,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Quincy Acy, TOT, SF,23,63, 0, 13.4,1.0,2.2, .468, 0.1,0.2,.267, 1.0, 2.0,.492,.482, 0.6,0.8,.660, 1.1,2.3,3.4,0.4, 0.4, 0.4,0.5,1.9, 2.7
Quincy Acy, TOR, SF,23,7, 0, 8.7,0.9,2.0, .429, 0.3,0.7,.400, 0.6, 1.3,.444,.500, 0.7,1.1,.625, 0.7,1.4,2.1,0.6, 0.6, 0.4,0.3,1.1, 2.7
Quincy Acy, SAC, SF,23,56, 0, 14.0,1.1,2.3, .472, 0.0,0.2,.200, 1.0, 2.1,.496,.480, 0.5,0.8,.667, 1.2,2.4,3.6,0.4, 0.3, 0.4,0.5,2.0, 2.7
Steven Adams, OKC, C,20,81, 20, 14.8,1.1,2.3, .503, 0.0,0.0,, 1.1, 2.3,.503,.503, 1.0,1.7,.581, 1.8,2.3,4.1,0.5, 0.5, 0.7,0.9,2.5, 3.3
Jeff Adrien, TOT, PF,27,53, 12, 18.1,2.7,5.2, .520, 0.0,0.0,, 2.7, 5.2,.520,.520, 1.4,2.2,.639, 1.9,3.8,5.8,0.7, 0.5, 0.7,0.7,2.0, 6.8
Jeff Adrien, CHA, PF,27,25, 0, 10.2,0.9,1.6, .550, 0.0,0.0,, 0.9, 1.6,.550,.550, 0.5,1.0,.520, 1.3,2.2,3.5,0.3, 0.3, 0.6,0.3,1.4, 2.3
Jeff Adrien, MIL, PF,27,28, 12, 25.2,4.3,8.4, .515, 0.0,0.0,, 4.3, 8.4,.515,.515, 2.3,3.4,.670, 2.5,5.3,7.8,1.1, 0.6, 0.8,1.1,2.6, 10.9
Arron Afflalo, ORL, SG,28,73, 73, 35.0,6.4,13.8, .459, 1.8,4.1,.427, 4.6, 9.7,.473,.522, 3.8,4.6,.815, 0.4,3.2,3.6,3.4, 0.5, 0.0,2.0,1.9, 18.2
Alexis Ajinça, NOP, C,25,56, 30, 17.0,2.4,4.4, .546, 0.0,0.0,.000, 2.4, 4.4,.548,.546, 1.0,1.2,.836, 1.7,3.3,4.9,0.7, 0.4, 0.8,1.1,3.3, 5.9
Cole Aldrich, NYK, C,25,46, 2, 7.2,0.7,1.3, .541, 0.0,0.0,, 0.7, 1.3,.541,.541, 0.6,0.7,.867, 0.8,2.0,2.8,0.3, 0.2, 0.7,0.4,0.9, 2.0
LaMarcus Aldridge, POR, PF,28,69, 69, 36.2,9.4,20.6, .458, 0.0,0.2,.200, 9.4, 20.4,.461,.459, 4.3,5.2,.822, 2.4,8.7,11.1,2.6, 0.9, 1.0,1.8,2.1, 23.2
Lavoy Allen, TOT, PF,24,65, 2, 16.5,2.1,4.6, .447, 0.0,0.2,.154, 2.0, 4.4,.460,.450, 0.5,0.8,.660, 1.8,3.0,4.8,1.1, 0.4, 0.5,0.7,1.9, 4.7
Lavoy Allen, PHI, PF,24,51, 2, 18.8,2.3,5.2, .440, 0.0,0.3,.154, 2.3, 5.0,.455,.444, 0.5,0.8,.675, 2.1,3.4,5.4,1.3, 0.4, 0.5,0.8,2.3, 5.2
Lavoy Allen, IND, PF,24,14, 0, 8.0,1.2,2.4, .500, 0.0,0.0,, 1.2, 2.4,.500,.500, 0.4,0.7,.600, 0.9,1.5,2.4,0.4, 0.1, 0.4,0.3,0.8, 2.9
